body_text,body_len,punct%
Ok then i will come to ur home after half an hour,38,0.0
Hey tmr maybe can meet you at yck,26,0.0
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",55,9.1
K:)all the best:)congrats...,26,26.900000000000002
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",68,11.799999999999999
How much is torch in 9ja.,20,5.0
"Come to mu, we're sorting out our narcotics situation",45,4.3999999999999995
Tell dear what happen to you. Why you talking to me like an alian,52,1.9
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",55,5.5
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,87,3.4000000000000004
Pls i wont belive god.not only jesus.,31,6.5
You want to go? ,12,8.3
"Omw back to tampa from west palm, you hear what happened?",47,4.3
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,130,2.3
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,93,8.6
You have 1 new message. Call 0207-083-6089,36,8.3
I've told him that i've returned it. That should i re order it.,51,7.8
Arun can u transfr me d amt,21,0.0
"I want to show you the world, princess :) how about europe?",48,8.3
Are you planning to come chennai?,28,3.5999999999999996
Yes... I trust u to buy new stuff ASAP so I can try it out,44,6.800000000000001
"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",83,7.199999999999999
Ew are you one of them?,18,5.6000000000000005
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,128,8.6
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",128,5.5
"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",124,3.2
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,59,5.1
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",116,8.6
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,133,5.3
Check audrey's status right now,27,3.6999999999999997
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",131,6.9
He is a womdarfull actor,20,0.0
"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",74,2.7
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,103,6.800000000000001
Customer place i will call you.,26,3.8
You have 1 new message. Please call 08715205273,40,2.5
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,127,3.9
You still around? Looking to pick up later,35,2.9000000000000004
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,129,4.7
Go where n buy? Juz buy when we get there lar.,36,5.6000000000000005
Ü takin linear algebra today?,25,4.0
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",138,5.800000000000001
So the sun is anti sleep medicine.,28,3.5999999999999996
Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,55,7.3
"My planning usually stops at ""find hella weed, smoke hella weed""",54,5.6000000000000005
K.i did't see you.:)k:)where are you now?,35,22.900000000000002
"2 celebrate my bday, y else?",24,8.3
I'm not sure if its still available though,35,2.9000000000000004
Anything lar...,14,21.4
Dear umma she called me now :-),25,12.0
"Sorry my roommates took forever, it ok if I come by now?",45,4.3999999999999995
K. Did you call me just now ah? ,24,8.3
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",127,7.1
THANX 4 PUTTIN DA FONE DOWN ON ME!!,28,7.1
How are you holding up?,19,5.3
Gud mrng dear hav a nice day,22,0.0
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",135,11.1
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,127,6.3
I notice you like looking in the shit mirror youre turning into a right freak,63,0.0
Yes when is the appt again?,22,4.5
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,154,3.9
"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50",85,7.1
Im done. Just studyn in library,26,3.8
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,102,4.9
"Call me da, i am waiting for your call.",31,6.5
get ready to moan and scream :),25,8.0
Ok. So april. Cant wait,19,10.5
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",72,8.3
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",145,5.5
Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,81,2.5
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",130,6.2
"K give me a sec, breaking a  &lt;#&gt;  at cstore",38,15.8
Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,120,9.2
I think if he rule tamilnadu..then its very tough for our people.,54,5.6000000000000005
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",58,10.299999999999999
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",129,6.2
Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,91,9.9
See you there! ,12,8.3
Hahaha..use your brain dear,24,8.3
Tell me they're female :V how're you throwing in? We're deciding what all to get now,69,7.199999999999999
Apps class varaya elaya.,21,4.8
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",137,7.3
"Text me when you get off, don't call, my phones having problems",52,5.800000000000001
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,48,4.2
Excellent! Wish we were together right now!,37,5.4
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),129,4.7
A bloo bloo bloo I'll miss the first bowl,33,3.0
Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,88,4.5
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,98,3.1
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",146,7.5
Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,90,3.3000000000000003
Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,104,1.9
No need lar i go engin? Cos my sis at arts today...,40,10.0
"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",124,8.1
"Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+",106,7.5
Will be office around 4 pm. Now i am going hospital.,42,4.8
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,126,1.6
Is xy going 4 e lunch?,17,5.8999999999999995
The battery is for mr adewale my uncle. Aka Egbon,40,2.5
I think the other two still need to get cash but we can def be ready by 9,56,0.0
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",93,7.5
Tell me pa. How is pain de.,21,9.5
I pocked you up there before,23,0.0
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,119,2.5
Any way where are you and what doing.,30,3.3000000000000003
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,110,2.7
I can make lasagna for you... vodka...,32,18.8
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",151,6.0
I think its far more than that but find out. Check google maps for a place from your dorm.,72,2.8000000000000003
"Haha awesome, I might need to take you up on that, what you doin tonight?",59,5.1
Good Morning plz call me sir,23,0.0
Yo sorry was in the shower sup,24,0.0
"Yes obviously, but you are the eggs-pert and the potato head… Speak soon! ",61,4.9
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",123,7.3
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,33,3.0
Hey check it da. I have listed da.,27,7.3999999999999995
U wake up already? Thanx 4 e tau sar piah it's quite nice.,46,6.5
"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",134,6.7
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,112,1.7999999999999998
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,71,2.8000000000000003
